#step	total	overlap	contact	SC-SC	stiff
0	-2960.0	0.0	0.0	-2960.0	0.0
0	-2952.0	0.0	0.0	-2952.0	0.0
3000000	-1242.0	0.0	0.0	-1242.0	0.0
6000000	-1180.0	0.0	0.0	-1180.0	0.0
9000000	-1314.0	0.0	0.0	-1314.0	0.0
12000000	-1190.0	0.0	0.0	-1190.0	0.0
15000000	-1296.0	0.0	0.0	-1296.0	0.0
18000000	-1206.0	0.0	0.0	-1206.0	0.0
21000000	-1250.0	0.0	0.0	-1250.0	0.0
24000000	-1228.0	0.0	0.0	-1228.0	0.0
27000000	-1234.0	0.0	0.0	-1234.0	0.0
30000000	-1280.0	0.0	0.0	-1280.0	0.0
33000000	-1218.0	0.0	0.0	-1218.0	0.0
36000000	-1246.0	0.0	0.0	-1246.0	0.0
39000000	-1236.0	0.0	0.0	-1236.0	0.0
42000000	-1276.0	0.0	0.0	-1276.0	0.0
45000000	-1250.0	0.0	0.0	-1250.0	0.0
48000000	-1222.0	0.0	0.0	-1222.0	0.0
51000000	-1292.0	0.0	0.0	-1292.0	0.0
54000000	-1306.0	0.0	0.0	-1306.0	0.0
57000000	-1286.0	0.0	0.0	-1286.0	0.0
60000000	-1246.0	0.0	0.0	-1246.0	0.0
63000000	-1262.0	0.0	0.0	-1262.0	0.0
66000000	-1152.0	0.0	0.0	-1152.0	0.0
69000000	-1228.0	0.0	0.0	-1228.0	0.0
72000000	-1358.0	0.0	0.0	-1358.0	0.0
75000000	-1324.0	0.0	0.0	-1324.0	0.0
78000000	-1268.0	0.0	0.0	-1268.0	0.0
81000000	-1270.0	0.0	0.0	-1270.0	0.0
84000000	-1334.0	0.0	0.0	-1334.0	0.0
87000000	-1156.0	0.0	0.0	-1156.0	0.0
90000000	-1258.0	0.0	0.0	-1258.0	0.0
93000000	-1270.0	0.0	0.0	-1270.0	0.0
96000000	-1232.0	0.0	0.0	-1232.0	0.0
99000000	-1278.0	0.0	0.0	-1278.0	0.0
102000000	-1176.0	0.0	0.0	-1176.0	0.0
105000000	-1188.0	0.0	0.0	-1188.0	0.0
108000000	-1232.0	0.0	0.0	-1232.0	0.0
111000000	-1272.0	0.0	0.0	-1272.0	0.0
114000000	-1328.0	0.0	0.0	-1328.0	0.0
117000000	-1202.0	0.0	0.0	-1202.0	0.0
120000000	-1238.0	0.0	0.0	-1238.0	0.0
123000000	-1296.0	0.0	0.0	-1296.0	0.0
126000000	-1228.0	0.0	0.0	-1228.0	0.0
129000000	-1260.0	0.0	0.0	-1260.0	0.0
132000000	-1250.0	0.0	0.0	-1250.0	0.0
135000000	-1272.0	0.0	0.0	-1272.0	0.0
138000000	-1266.0	0.0	0.0	-1266.0	0.0
141000000	-1214.0	0.0	0.0	-1214.0	0.0
144000000	-1342.0	0.0	0.0	-1342.0	0.0
147000000	-1322.0	0.0	0.0	-1322.0	0.0
150000000	-1306.0	0.0	0.0	-1306.0	0.0
153000000	-1264.0	0.0	0.0	-1264.0	0.0
156000000	-1294.0	0.0	0.0	-1294.0	0.0
159000000	-1278.0	0.0	0.0	-1278.0	0.0
162000000	-1298.0	0.0	0.0	-1298.0	0.0
165000000	-1294.0	0.0	0.0	-1294.0	0.0
168000000	-1308.0	0.0	0.0	-1308.0	0.0
171000000	-1204.0	0.0	0.0	-1204.0	0.0
174000000	-1216.0	0.0	0.0	-1216.0	0.0
177000000	-1242.0	0.0	0.0	-1242.0	0.0
180000000	-1286.0	0.0	0.0	-1286.0	0.0
183000000	-1140.0	0.0	0.0	-1140.0	0.0
186000000	-1312.0	0.0	0.0	-1312.0	0.0
189000000	-1276.0	0.0	0.0	-1276.0	0.0
192000000	-1178.0	0.0	0.0	-1178.0	0.0
195000000	-1268.0	0.0	0.0	-1268.0	0.0
198000000	-1196.0	0.0	0.0	-1196.0	0.0
201000000	-1252.0	0.0	0.0	-1252.0	0.0
204000000	-1280.0	0.0	0.0	-1280.0	0.0
207000000	-1304.0	0.0	0.0	-1304.0	0.0
210000000	-1342.0	0.0	0.0	-1342.0	0.0
213000000	-1294.0	0.0	0.0	-1294.0	0.0
216000000	-1282.0	0.0	0.0	-1282.0	0.0
219000000	-1262.0	0.0	0.0	-1262.0	0.0
222000000	-1198.0	0.0	0.0	-1198.0	0.0
225000000	-1282.0	0.0	0.0	-1282.0	0.0
228000000	-1290.0	0.0	0.0	-1290.0	0.0
231000000	-1296.0	0.0	0.0	-1296.0	0.0
234000000	-1230.0	0.0	0.0	-1230.0	0.0
237000000	-1276.0	0.0	0.0	-1276.0	0.0
240000000	-1272.0	0.0	0.0	-1272.0	0.0
243000000	-1272.0	0.0	0.0	-1272.0	0.0
246000000	-1302.0	0.0	0.0	-1302.0	0.0
249000000	-1168.0	0.0	0.0	-1168.0	0.0
