#step	total	overlap	contact	SC-SC	stiff
0	144163264.0	144163264.0	0.0	0.0	0.0
3000000	4379262.5	4379262.5	0.0	0.0	0.0
6000000	4357669.0	4357669.0	0.0	0.0	0.0
9000000	4353622.0	4353622.0	0.0	0.0	0.0
13000001	64586.4	69156.4	0.0	-4570.0	0.0
16000001	16534.6	21178.6	0.0	-4644.0	0.0
19000001	2045.1	6793.1	0.0	-4748.0	0.0
22000001	-2281.9	2402.1	0.0	-4684.0	0.0
25000001	-3720.0	0.0	0.0	-3720.0	0.0
28000001	-3282.0	0.0	0.0	-3282.0	0.0
31000001	-3048.0	0.0	0.0	-3048.0	0.0
34000001	-2902.0	0.0	0.0	-2902.0	0.0
37000001	-2832.0	0.0	0.0	-2832.0	0.0
40000001	-2946.0	0.0	0.0	-2946.0	0.0
43000001	-2914.0	0.0	0.0	-2914.0	0.0
46000001	-2956.0	0.0	0.0	-2956.0	0.0
49000001	-3076.0	0.0	0.0	-3076.0	0.0
52000001	-2978.0	0.0	0.0	-2978.0	0.0
55000001	-2858.0	0.0	0.0	-2858.0	0.0
58000001	-2924.0	0.0	0.0	-2924.0	0.0
61000001	-2834.0	0.0	0.0	-2834.0	0.0
64000001	-2940.0	0.0	0.0	-2940.0	0.0
67000001	-2910.0	0.0	0.0	-2910.0	0.0
70000001	-3046.0	0.0	0.0	-3046.0	0.0
73000001	-2892.0	0.0	0.0	-2892.0	0.0
76000001	-2900.0	0.0	0.0	-2900.0	0.0
79000001	-2872.0	0.0	0.0	-2872.0	0.0
82000001	-2896.0	0.0	0.0	-2896.0	0.0
85000001	-2858.0	0.0	0.0	-2858.0	0.0
88000001	-2854.0	0.0	0.0	-2854.0	0.0
91000001	-2924.0	0.0	0.0	-2924.0	0.0
94000001	-2728.0	0.0	0.0	-2728.0	0.0
97000001	-2880.0	0.0	0.0	-2880.0	0.0
100000001	-2810.0	0.0	0.0	-2810.0	0.0
103000001	-2864.0	0.0	0.0	-2864.0	0.0
106000001	-2906.0	0.0	0.0	-2906.0	0.0
109000001	-2896.0	0.0	0.0	-2896.0	0.0
112000001	-2892.0	0.0	0.0	-2892.0	0.0
115000001	-2974.0	0.0	0.0	-2974.0	0.0
118000001	-2944.0	0.0	0.0	-2944.0	0.0
121000001	-2878.0	0.0	0.0	-2878.0	0.0
124000001	-2942.0	0.0	0.0	-2942.0	0.0
127000001	-2856.0	0.0	0.0	-2856.0	0.0
130000001	-2804.0	0.0	0.0	-2804.0	0.0
133000001	-2944.0	0.0	0.0	-2944.0	0.0
136000001	-2902.0	0.0	0.0	-2902.0	0.0
139000001	-2794.0	0.0	0.0	-2794.0	0.0
142000001	-2902.0	0.0	0.0	-2902.0	0.0
145000001	-2836.0	0.0	0.0	-2836.0	0.0
148000001	-2858.0	0.0	0.0	-2858.0	0.0
151000001	-2846.0	0.0	0.0	-2846.0	0.0
154000001	-2906.0	0.0	0.0	-2906.0	0.0
157000001	-2868.0	0.0	0.0	-2868.0	0.0
160000001	-2902.0	0.0	0.0	-2902.0	0.0
163000001	-3056.0	0.0	0.0	-3056.0	0.0
166000001	-3070.0	0.0	0.0	-3070.0	0.0
169000001	-2932.0	0.0	0.0	-2932.0	0.0
172000001	-3074.0	0.0	0.0	-3074.0	0.0
175000001	-3002.0	0.0	0.0	-3002.0	0.0
178000001	-2894.0	0.0	0.0	-2894.0	0.0
181000001	-2994.0	0.0	0.0	-2994.0	0.0
184000001	-2944.0	0.0	0.0	-2944.0	0.0
187000001	-3006.0	0.0	0.0	-3006.0	0.0
190000001	-2864.0	0.0	0.0	-2864.0	0.0
193000001	-2976.0	0.0	0.0	-2976.0	0.0
196000001	-2920.0	0.0	0.0	-2920.0	0.0
199000001	-2980.0	0.0	0.0	-2980.0	0.0
202000001	-2924.0	0.0	0.0	-2924.0	0.0
205000001	-2866.0	0.0	0.0	-2866.0	0.0
208000001	-2842.0	0.0	0.0	-2842.0	0.0
211000001	-2930.0	0.0	0.0	-2930.0	0.0
214000001	-2940.0	0.0	0.0	-2940.0	0.0
217000001	-3022.0	0.0	0.0	-3022.0	0.0
220000001	-2938.0	0.0	0.0	-2938.0	0.0
223000001	-3030.0	0.0	0.0	-3030.0	0.0
226000001	-3094.0	0.0	0.0	-3094.0	0.0
229000001	-2864.0	0.0	0.0	-2864.0	0.0
232000001	-2898.0	0.0	0.0	-2898.0	0.0
235000001	-2990.0	0.0	0.0	-2990.0	0.0
238000001	-2980.0	0.0	0.0	-2980.0	0.0
241000001	-2920.0	0.0	0.0	-2920.0	0.0
244000001	-2870.0	0.0	0.0	-2870.0	0.0
247000001	-2914.0	0.0	0.0	-2914.0	0.0
250000001	-2958.0	0.0	0.0	-2958.0	0.0
253000001	-3022.0	0.0	0.0	-3022.0	0.0
256000001	-2928.0	0.0	0.0	-2928.0	0.0
259000001	-2960.0	0.0	0.0	-2960.0	0.0
